,Verification_Status,processed_Text,noun_count,Word_Count,entity_count,class,sum_bow
0,ข่าวปลอม,  กรมพัฒนาธุรกิจการ ค้า อนุญาต ใบ ทะเบียน พาณิชย์ บุคคล   ธุรกิจ เงิน กู้ ระบบ ออนไลน์,12,17,3,2,16
1,ข่าวปลอม,"  กรมการจัดหางาน ส่งเสริม ไทย   เฉลี่ย   1,500   –   3,900   บาท",4,19,9,2,8
2,ข่าวปลอม,"  ตลาด หลักทรัพย์แห่งประเทศไทย ทุน หา ค่า ข้าว     1,000   บาท   บิทคอยน์",8,22,7,2,11
3,ข่าวปลอม,  ตลาดหลักทรัพย์   พอร์ต หุ้น ธนาคาร กำไร   4850 %,6,13,2,2,7
4,ข่าวปลอม,  บริหาร ธ.  ออมสินไลน์ เชิญชวน กู้ เงิน หลัก หมื่น หลักแสน   ปลอด ภัย   100 %,7,18,2,2,13
5,ข่าวปลอม,    เพิ่มเบี้ย สูงอายุ   คน   100   บาท   คน รายงาน ตัว เขต,6,17,3,2,9
6,ข่าวปลอม,  เล่น มือถือ มืด   ทำ มะเร็ง ตา ตา บอดถาวร,4,15,0,2,7
7,ข่าวปลอม,  กรุงไทย เว็บไซต์   https : //88886666z. top/   ปล่อย สินเชื่อ กรุงไทยใจป้ำ,7,12,8,2,12
8,ข่าวปลอม,"  รัฐบาล แจก เงิน คน   1,000   –   5,000   บาท   กด เงิน สดใช้",4,19,7,2,10
9,ข่าวปลอม,  กลุ่มเฟซบุ๊กชื่อ   ‘ ไทย รู้สู้ โควิด ’   หน่วย งาน ราชการ,9,16,1,2,9
10,ข่าวปลอม,  กระเบา รักษา โรค มะเร็ง,2,6,0,2,4
11,ข่าวปลอม,"  อ.   กงไกรลาศ   จ. สุโขทัย   หนี้ ธ.ก.ส.   ,   ธ. ออมสิน   ธ.  กรุงไทย   เคลียร์ ศูนย์",15,36,11,2,9
12,ข่าวปลอม,  ผลิตภัณฑ์ สมุนไพร เคอร่า   ( Kerra )   รักษา โรค โควิด 19,9,12,5,2,11
13,ข่าวปลอม,  การบินไทย สมัคร งาน   เพจ สื่อสาร องค์กรการบินไทย,6,15,4,2,10
14,ข่าวปลอม,  ตำรวจ หญิง   1     ชีวิต ฉีด วัคซีน ป้องกัน โควิด 19,5,14,0,2,6
15,ข่าวปลอม,  เพจเฟซบุ๊กองค์ การพัฒเทคโนโลยีแห่งชาติ สวท ช.,7,9,7,2,7
16,ข่าวปลอม,  ทะเบียน เว็บไซต์   Thailand   Pass   ค่า ธรรมเนียม   สำหรับ เดินทาง ประเทศ,6,16,0,2,12
17,ข่าวปลอม,  ทำ ธุระ กรมที่ดิน  มี   SMS   แจ้ง ชื่อ   จอง คิว กรมที่ดิน   กด คิว   ทำ เงิน สูญหาย,11,27,0,2,11
18,ข่าวปลอม,  อาการ ขี้ หนาว สัญญาณ บ่งบอก โรค ไต ขวา เสื่อม,6,11,0,2,9
19,ข่าวปลอม,  พายุ ฤดู ร้อน ไทย   38   จังหวัด   ฝน ตก หนัก   ลม กระโชก แรง   เฝ้า ระวัง ด่วน,8,19,1,2,15
